ID,Date,Time,State,Intensity,Injuries,Fatalities
D90F1AC6,11/16/1951,1:00:00,AL,2,1,0
BF7FE32F,11/16/1951,6:55:00,GA,1,0,0
15387A72,12/4/1951,11:25:00,FL,1,0,0
C3C466E1,12/6/1951,17:40:00,OR,1,0,0
A5C5C6D3,12/6/1951,18:00:00,IL,3,1,1
E3801155,12/8/1951,17:30:00,MS,0,0,0
59F27DE1,12/18/1951,13:30:00,FL,1,0,0
614BF03C,12/18/1951,17:00:00,MA,2,0,0
FF071EDB,12/18/1951,17:45:00,FL,2,0,0
3E5F708E,12/18/1951,18:00:00,FL,1,0,0
B8F6D19F,12/18/1951,18:30:00,FL,2,0,0
1744976A,12/20/1951,15:15:00,MS,1,0,0
19EB9287,1/17/1952,19:34:00,PA,2,0,0
D98089B7,1/22/1952,7:00:00,GA,2,8,0
B95DD3C2,1/22/1952,9:00:00,AL,1,0,0
F418857E,1/26/1952,15:30:00,AR,1,0,0
43AFC9F6,1/26/1952,16:00:00,AR,1,0,0
52C890C0,1/28/1952,3:40:00,GA,1,0,0
9613D956,1/28/1952,5:30:00,FL,1,3,0
0B428077,1/28/1952,6:00:00,GA,1,1,0
AB08D574,1/28/1952,6:30:00,GA,2,0,0
AA211D83,1/28/1952,6:45:00,FL,2,0,0
092E07A7,1/28/1952,7:10:00,GA,1,2,0
1BA48AB1,1/28/1952,7:30:00,GA,1,1,0
6BDC3224,2/1/1952,15:00:00,TX,2,0,0
300A30B2,2/13/1952,4:00:00,LA,0,0,0
4A100052,2/13/1952,16:30:00,AR,2,5,0
35A3D0D3,2/13/1952,17:00:00,TN,2,0,0
38059C67,2/13/1952,17:10:00,MO,2,0,0
68F68A78,2/13/1952,19:30:00,MS,0,0,0
59AC5A9C,2/13/1952,19:45:00,TN,1,0,0
7663E92E,2/13/1952,20:00:00,AL,3,14,1
E314B0CA,2/13/1952,20:30:00,AL,1,6,0
